cert,fail_date
23262,1989-07-20
23672,1989-07-20
24365,1989-07-20
25854,1989-07-20
27978,1989-07-20
29428,1989-07-20
31350,1989-07-20
31984,1989-07-20
32076,1989-07-20
32428,1989-07-20
32475,1989-07-20
25813,1989-07-14
16839,1989-07-13
19431,1989-07-13
24741,1989-07-13
27874,1989-07-13
28609,1989-07-13
32154,1989-07-13
32398,1989-07-13
17405,1989-07-05
19069,1989-06-30
21155,1989-06-30
11926,1989-06-29
26969,1989-06-29
28119,1989-06-29
28378,1989-06-29
28581,1989-06-29
29378,1989-06-29
31019,1989-06-29
31326,1989-06-29
32142,1989-06-29
24630,1989-06-22
27924,1989-06-22
29507,1989-06-22
30458,1989-06-22
20681,1989-06-21
21999,1989-06-15
23695,1989-06-15
25308,1989-06-15
28597,1989-06-14
31997,1989-06-14
22612,1989-06-09
23945,1989-06-08
24542,1989-06-08
26547,1989-06-08
28625,1989-06-08
29830,1989-06-08
6012,1989-05-31
23108,1989-05-25
23545,1989-05-24
24595,1989-05-24
24917,1989-05-24
23753,1989-05-19
1220,1989-05-18
3223,1989-05-18
4749,1989-05-18
25218,1989-05-18
26636,1989-05-12
11918,1989-05-11
17436,1989-05-04
24318,1989-05-04
24657,1989-05-04
23735,1989-04-27
25794,1989-04-27
28508,1989-04-27
30262,1989-04-27
30374,1989-04-27
32231,1989-04-27
18462,1989-04-21
17020,1989-04-20
20053,1989-04-20
22099,1989-04-20
29642,1989-04-14
19752,1989-04-13
32108,1989-04-13
22151,1989-04-12
3366,1989-04-06
23389,1989-04-06
27638,1989-04-06
27655,1989-04-06
27663,1989-04-06
27775,1989-04-06
27777,1989-04-06
28228,1989-04-06
29017,1989-04-06
29073,1989-04-06
29408,1989-04-06
29458,1989-04-06
30444,1989-04-06
30518,1989-04-06
30705,1989-04-06
30990,1989-04-06
31252,1989-04-06
31334,1989-04-06
31542,1989-04-06
31691,1989-04-06
31697,1989-04-06
31766,1989-04-06
31831,1989-04-06
31855,1989-04-06
32045,1989-04-06
32048,1989-04-06
32059,1989-04-06
32087,1989-04-06
32132,1989-04-06
32146,1989-04-06
32197,1989-04-06
32225,1989-04-06
32259,1989-04-06
32268,1989-04-06
32278,1989-04-06
32279,1989-04-06
32506,1989-04-06
32528,1989-04-06
32560,1989-04-06
31256,1989-04-05
21973,1989-03-31
25099,1989-03-31
26807,1989-03-31
31392,1989-03-31
31629,1989-03-31
22576,1989-03-30
28071,1989-03-30
28493,1989-03-30
29160,1989-03-30
29306,1989-03-30
29694,1989-03-30
30202,1989-03-30
30613,1989-03-30
31884,1989-03-30
32405,1989-03-30
1191,1989-03-28
3083,1989-03-28
3112,1989-03-28
3154,1989-03-28
3163,1989-03-28
3201,1989-03-28
3309,1989-03-28
3323,1989-03-28
3393,1989-03-28
5509,1989-03-28
5528,1989-03-28
5585,1989-03-28
15342,1989-03-28
16254,1989-03-28
18144,1989-03-28
18571,1989-03-28
18790,1989-03-28
19019,1989-03-28
19456,1989-03-28
23160,1989-03-28
15903,1989-03-23
16131,1989-03-23
21538,1989-03-23
26257,1989-03-17
11893,1989-03-16
15223,1989-03-16
15786,1989-03-16
18183,1989-03-16
21850,1989-03-16
27631,1989-03-16
27681,1989-03-16
27698,1989-03-16
27717,1989-03-16
27762,1989-03-16
27829,1989-03-16
28058,1989-03-16
28707,1989-03-16
29038,1989-03-16
29128,1989-03-16
29267,1989-03-16
29413,1989-03-16
30026,1989-03-16
30561,1989-03-16
30780,1989-03-16
30907,1989-03-16
30935,1989-03-16
31066,1989-03-16
31079,1989-03-16
31096,1989-03-16
31262,1989-03-16
31355,1989-03-16
31402,1989-03-16
31546,1989-03-16
31548,1989-03-16
31706,1989-03-16
31779,1989-03-16
31782,1989-03-16
31791,1989-03-16
31799,1989-03-16
31803,1989-03-16
31825,1989-03-16
31907,1989-03-16
32011,1989-03-16
32035,1989-03-16
32041,1989-03-16
32063,1989-03-16
32081,1989-03-16
32129,1989-03-16
32131,1989-03-16
32160,1989-03-16
32513,1989-03-16
32540,1989-03-16
32544,1989-03-16
32554,1989-03-16
32630,1989-03-16
30622,1989-03-15
23984,1989-03-10
13247,1989-03-09
23590,1989-03-09
25662,1989-03-09
27627,1989-03-09
27702,1989-03-09
27812,1989-03-09
27885,1989-03-09
28131,1989-03-09
28354,1989-03-09
28414,1989-03-09
28775,1989-03-09
28819,1989-03-09
29168,1989-03-09
29204,1989-03-09
29553,1989-03-09
29718,1989-03-09
30204,1989-03-09
30325,1989-03-09
30427,1989-03-09
30761,1989-03-09
30902,1989-03-09
30925,1989-03-09
30937,1989-03-09
31128,1989-03-09
31163,1989-03-09
31290,1989-03-09
31342,1989-03-09
31413,1989-03-09
31417,1989-03-09
31556,1989-03-09
31571,1989-03-09
31582,1989-03-09
31707,1989-03-09
31730,1989-03-09
31767,1989-03-09
31806,1989-03-09
31829,1989-03-09
31866,1989-03-09
31879,1989-03-09
31896,1989-03-09
31909,1989-03-09
31935,1989-03-09
32014,1989-03-09
32020,1989-03-09
32046,1989-03-09
32117,1989-03-09
32557,1989-03-09
32616,1989-03-09
27726,1989-03-02
27864,1989-03-02
28146,1989-03-02
28159,1989-03-02
28410,1989-03-02
28850,1989-03-02
29217,1989-03-02
29264,1989-03-02
29305,1989-03-02
29909,1989-03-02
30672,1989-03-02
30740,1989-03-02
30856,1989-03-02
30924,1989-03-02
31112,1989-03-02
31116,1989-03-02
31132,1989-03-02
31394,1989-03-02
31625,1989-03-02
31653,1989-03-02
31656,1989-03-02
31675,1989-03-02
31765,1989-03-02
31874,1989-03-02
31908,1989-03-02
31917,1989-03-02
31933,1989-03-02
31937,1989-03-02
31968,1989-03-02
31970,1989-03-02
31993,1989-03-02
32019,1989-03-02
32450,1989-03-02
32462,1989-03-02
32553,1989-03-02
32561,1989-03-02
31040,1989-02-28
31478,1989-02-24
31886,1989-02-24
16751,1989-02-17
27845,1989-02-17
27974,1989-02-17
28582,1989-02-17
28698,1989-02-17
